handle,sku,max_variant_images,variant_image_2,variant_image_3,variant_image_4,variant_image_5,variant_image_6
xtra-cal,0020,3,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/xtra-cal/xtra-cal_0020_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/xtra-cal/xtra-cal_0020_3.png,,,
herbalife-line-max,0043,3,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/herbalife-line-max/herbalife-line-max_0043_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/herbalife-line-max/herbalife-line-max_0043_3.png,,,
beta-heart,0267,5,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/beta-heart/beta-heart_0267_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/beta-heart/beta-heart_0267_3.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/beta-heart/beta-heart_0267_4.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/beta-heart/beta-heart_0267_5.png,
microbiotic-max,173K,5,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/microbiotic-max/microbiotic-max_173K_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/microbiotic-max/microbiotic-max_173K_3.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/microbiotic-max/microbiotic-max_173K_4.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/microbiotic-max/microbiotic-max_173K_5.png,
kucharka,3C10,2,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/kucharka/kucharka_3C10_2.png,,,,
skin-cistici-pripravek-aloe,0765,3,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/skin-cistici-pripravek-aloe/skin-cistici-pripravek-aloe_0765_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/skin-cistici-pripravek-aloe/skin-cistici-pripravek-aloe_0765_3.png,,,
skin-cistici-pripravek-citrusy,0766,2,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/skin-cistici-pripravek-citrusy/skin-cistici-pripravek-citrusy_0766_2.png,,,,
skin-cistici-jilova-maska,0773,3,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/skin-cistici-jilova-maska/skin-cistici-jilova-maska_0773_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/skin-cistici-jilova-maska/skin-cistici-jilova-maska_0773_3.png,,,
skin-bylinkovy-toner,0767,3,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/skin-bylinkovy-toner/skin-bylinkovy-toner_0767_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/skin-bylinkovy-toner/skin-bylinkovy-toner_0767_3.png,,,
skin-zpevnujici-ocni-gel,0770,3,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/skin-zpevnujici-ocni-gel/skin-zpevnujici-ocni-gel_0770_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/skin-zpevnujici-ocni-gel/skin-zpevnujici-ocni-gel_0770_3.png,,,
