handle,sku,max_variant_images,variant_image_2,variant_image_3,variant_image_4,variant_image_5,variant_image_6
f1-express-tycinky,4472,3,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/f1-express-tycinky/f1-express-tycinky_4472_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/f1-express-tycinky/f1-express-tycinky_4472_3.png,,,
f1-express-tycinky,4473,3,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/f1-express-tycinky/f1-express-tycinky_4473_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/f1-express-tycinky/f1-express-tycinky_4473_3.png,,,
h24-cr7-drive-540g,1466,4,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/h24-cr7-drive-540g/h24-cr7-drive-540g_1466_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/h24-cr7-drive-540g/h24-cr7-drive-540g_1466_3.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/h24-cr7-drive-540g/h24-cr7-drive-540g_1466_4.png,,
h24-cr7-drive-270g,1467,4,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/h24-cr7-drive-270g/h24-cr7-drive-270g_1467_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/h24-cr7-drive-270g/h24-cr7-drive-270g_1467_3.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/h24-cr7-drive-270g/h24-cr7-drive-270g_1467_4.png,,
protein-chips,141K,3,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/protein-chips/protein-chips_141K_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/protein-chips/protein-chips_141K_3.png,,,
protein-chips,142K,3,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/protein-chips/protein-chips_142K_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/protein-chips/protein-chips_142K_3.png,,,
protein-tycinka,3976,3,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/protein-tycinka/protein-tycinka_3976_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/protein-tycinka/protein-tycinka_3976_3.png,,,
protein-tycinka,3968,3,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/protein-tycinka/protein-tycinka_3968_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/protein-tycinka/protein-tycinka_3968_3.png,,,
h24-proteinova-tycinka,150K,5,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/h24-proteinova-tycinka/h24-proteinova-tycinka_150K_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/h24-proteinova-tycinka/h24-proteinova-tycinka_150K_3.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/h24-proteinova-tycinka/h24-proteinova-tycinka_150K_4.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/h24-proteinova-tycinka/h24-proteinova-tycinka_150K_5.png,
f2-multivitamin,1800,3,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/f2-multivitamin/f2-multivitamin_1800_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/f2-multivitamin/f2-multivitamin_1800_3.png,,,
f2-multivitamin,1819,3,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/f2-multivitamin/f2-multivitamin_1819_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/f2-multivitamin/f2-multivitamin_1819_3.png,,,
formula3-proteinovy-doplnek,0242,3,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula3-proteinovy-doplnek/formula3-proteinovy-doplnek_0242_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula3-proteinovy-doplnek/formula3-proteinovy-doplnek_0242_3.png,,,
